"Listing ID","Sts","SubType","Address","Listing Contract Date","Activation Date","Purchase Contract Date","Close Date","City","County Or Parish","Original List Price","Days In MLS","Close Price","Current Price","RATIO Close Price By Original List Price","Concessions Amount","Bedrooms Total","Buyer Financing","Bathrooms Total Integer","Above Grade Finished Area","Building Area Total","Living Area","Parking Total","Association YN","Association Fee Total Annual"
"2300560","C","TWH","12242 Bannock Circle Unit# B","12/03/2024","","12/04/2024","12/30/2024","Denver","Adams","$309,000","1","$315,000","$315,000","1.01942","9,855","2","FHA","3","799","1,275","1,224","2","Yes","$2,880.00"
"6790741","C","CON","8701 Huron Street Unit# 4-104","12/03/2024","","12/06/2024","01/02/2025","Thornton","Adams","$234,900","3","$234,900","$234,900","1.00000","5,000","1","FHA","1","560","560","560","1","Yes","$3,156.00"
"5983933","A","SFR","6101 S University Boulevard","12/03/2024","","","","Centennial","Arapahoe","$1,200,000","32","","$1,200,000","","","4","","2","2,373","3,417","3,203","4","No","$0.00"
"2706954","A","SFR","6996 S Cook Way","12/03/2024","","","","Centennial","Arapahoe","$825,000","32","","$825,000","","","5","","3","1,792","2,688","2,642","2","Yes","$180.00"
"2367372","A","SFR","241 S Quantock Street","12/03/2024","","","","Aurora","Arapahoe","$660,000","32","","$660,000","","","5","","3","2,731","3,769","2,731","2","Yes","$1,356.00"
"2168365","A","SFR","6851 S Franklin Street","12/03/2024","","","","Centennial","Arapahoe","$639,900","32","","$625,000","","","4","","3","1,625","2,395","2,385","2","No","$0.00"
"1959510","A","SFR","2605 S Olathe Way","12/03/2024","2024-12-03","","","Aurora","Arapahoe","$525,000","32","","$520,000","","","4","","3","2,106","2,717","2,106","2","No","$0.00"
"9748542","A","SFR","935 Newark Street","12/03/2024","","","","Aurora","Arapahoe","$490,000","32","","$485,000","","","2","","1","1,126","1,126","1,126","2","No","$0.00"
"3572076","A","SFR","3869 S Himalaya Way","12/03/2024","","","","Aurora","Arapahoe","$490,000","15","","$469,000","","","3","","3","1,591","1,591","1,591","4","Yes","$440.00"
"3735221","A","TWH","22183 E 7th Place","12/03/2024","","","","Aurora","Arapahoe","$454,990","32","","$454,990","","","3","","3","1,874","1,874","1,874","2","No","$0.00"
"3136974","A","TWH","11761 E Canal Drive","12/03/2024","2024-12-03","","","Aurora","Arapahoe","$379,900","32","","$374,900","","","3","","3","1,200","1,800","1,740","2","Yes","$2,928.00"
"7640547","A","TWH","266 S Nome Street","12/03/2024","","","","Aurora","Arapahoe","$305,000","32","","$305,000","","","2","","3","1,002","1,002","1,002","1","Yes","$4,140.00"
"9949897","P","SFR","18197 E Iowa Drive","12/03/2024","2024-12-03","12/23/2024","","Aurora","Arapahoe","$564,900","20","","$564,900","","","4","","4","1,640","2,295","2,230","2","No","$0.00"
"8944711","P","SFR","3298 S Logan Street","12/03/2024","","12/20/2024","","Englewood","Arapahoe","$515,000","17","","$515,000","","","2","","1","762","762","762","1","No","$0.00"
"3198471","P","SFR","24650 E Wyoming Circle","12/03/2024","","12/31/2024","","Aurora","Arapahoe","$503,888","28","","$510,000","","","3","","3","1,454","2,141","1,454","4","Yes","$1,080.00"
"4943128","P","TWH","7031 S Knolls Way","12/03/2024","","12/10/2024","","Centennial","Arapahoe","$410,000","7","","$410,000","","","3","","2","1,253","1,253","1,253","2","Yes","$2,820.00"
"8668947","P","CON","13961 E Marina Drive Unit# 205","12/03/2024","","12/12/2024","","Aurora","Arapahoe","$285,000","9","","$285,000","","","2","","2","1,290","1,290","1,290","1","Yes","$8,280.00"
"5980678","C","SFR","3708 S Danube Circle","12/03/2024","2024-12-02","12/05/2024","12/27/2024","Aurora","Arapahoe","$375,000","2","$385,000","$385,000","1.02667","0","4","Conventional","3","1,270","1,270","1,270","1","Yes","$2,640.00"
"6343471","W","SFR","3133 S Gaylord Street","12/03/2024","","","","Englewood","Arapahoe","$950,000","14","","$950,000","","","3","","2","1,673","1,673","1,673","3","No","$0.00"
"6615642","A","SFR","2478 Quail Creek Drive","12/03/2024","","","","Broomfield","Broomfield","$949,900","32","","$949,900","","","4","","3","2,977","4,463","2,977","3","Yes","$600.00"
"6522041","A","SFR","185 W 9th Avenue","12/03/2024","2024-12-03","","","Broomfield","Broomfield","$719,000","32","","$719,000","","","4","","3","1,471","2,660","2,660","2","No","$0.00"
"2842204","A","SFR","1168 Birdie Road","12/03/2024","","","","Broomfield","Broomfield","$650,000","20","","$650,000","","","5","","4","2,494","3,844","3,844","2","No","$0.00"
"3413684","A","CON","3220 Boulder Circle Unit# 103","12/03/2024","","","","Broomfield","Broomfield","$363,000","32","","$363,000","","","2","","2","1,048","1,048","1,048","1","Yes","$4,795.00"
"2619255","A","SFR","1536 Lowell Boulevard","12/03/2024","2024-12-03","","","Denver","Denver","$985,000","32","","$935,000","","","5","","3","2,058","2,600","2,600","2","No","$0.00"
"6613675","A","SFR","2913 N Marion Street","12/03/2024","","","","Denver","Denver","$875,000","32","","$870,000","","","4","","2","1,564","1,725","1,564","2","No","$0.00"
"7203984","A","SFR","1582 S Syracuse Street","12/03/2024","","","","Denver","Denver","$620,000","32","","$620,000","","","3","","3","1,666","2,450","2,058","2","Yes","$1,500.00"
"5474967","A","SFR","985 Xavier Street","12/03/2024","","","","Denver","Denver","$595,000","32","","$545,000","","","4","","2","768","768","768","2","No","$0.00"
"9102538","A","TWH","10108 E 31st Avenue","12/03/2024","","","","Denver","Denver","$475,000","32","","$475,000","","","2","","2","1,277","1,277","1,277","3","Yes","$3,703.80"
